ibex_close,tasa_desempleo,prima,pib_trim_per_capita,deuda_perc_pib
4271.2998046875,19.5,176.0,3.1,63.84
4277.10009765625,19.5,176.0,3.1,63.84
4257.7998046875,19.5,159.0,3.1,63.84
4247.5,19.5,166.0,3.1,63.84
4243.10009765625,19.5,165.0,3.1,63.84
4266.10009765625,19.5,174.0,3.1,63.84
4328.39990234375,19.5,170.0,3.1,63.84
4295.5,19.5,181.0,3.1,63.84
4322.2998046875,19.5,185.0,3.1,63.84
4377.39990234375,19.5,184.0,3.1,63.84
4402.60009765625,19.5,185.0,3.1,63.84
4403.39990234375,19.5,181.0,3.1,63.84
4384.7998046875,19.5,182.0,3.1,63.84
4406.7001953125,19.5,177.0,3.1,63.84
4396.89990234375,19.5,176.0,3.1,63.84
4383.60009765625,19.5,173.0,3.1,63.84
4352.2001953125,19.5,176.0,3.1,63.84
4308.7998046875,19.5,188.0,3.1,63.84
4306.7001953125,19.5,179.0,3.1,63.84
4316.60009765625,19.3,179.0,3.1,64.36
4373.89990234375,19.3,169.0,3.1,64.36
4427.2998046875,19.3,164.0,3.1,64.36
4433.7001953125,19.3,163.0,3.1,64.36
4428.10009765625,19.3,164.0,3.1,64.36
4421.39990234375,19.3,167.0,3.1,64.36
4459.5,19.3,162.0,3.1,64.36
4469.89990234375,19.3,155.0,3.1,64.36
4492.89990234375,19.3,144.0,3.1,64.36
4489.89990234375,19.3,153.0,3.1,64.36
4483.7001953125,19.3,140.0,3.1,64.36
4506.89990234375,19.3,137.0,3.1,64.36
4512.89990234375,19.3,142.0,3.1,64.36
4511.60009765625,19.3,134.0,3.1,64.36
4544.2998046875,19.3,134.0,3.1,64.36
4584.7998046875,19.3,133.0,3.1,64.36
4597.2001953125,19.3,127.0,3.1,64.36
4566.5,19.3,132.0,3.1,64.36
4616.7001953125,19.3,135.0,3.1,64.36
4667.7998046875,19.3,139.0,3.1,64.36
4683.5,19.1,136.0,3.1,65.44
4757.2001953125,19.1,126.0,3.1,65.44
4724.5,19.1,130.0,3.1,65.44
4714.0,19.1,128.0,3.1,65.44
4704.10009765625,19.1,123.0,3.1,65.44
4753.2001953125,19.1,128.0,3.1,65.44
4677.7998046875,19.1,123.0,3.1,65.44
4663.89990234375,19.1,121.0,3.1,65.44
4651.0,19.1,116.0,3.1,65.44
4750.39990234375,19.1,109.0,3.1,65.44
4733.2998046875,19.1,115.0,3.1,65.44
4815.60009765625,19.1,116.0,3.1,65.44
4908.89990234375,19.1,118.0,3.1,65.44
4966.7998046875,19.1,116.0,3.1,65.44
4996.5,19.1,116.0,3.1,65.44
4815.60009765625,19.1,116.0,3.1,65.44
5107.0,19.1,113.0,3.1,65.44
5145.0,19.1,110.0,3.1,65.44
5154.7998046875,19.1,110.0,3.1,65.44
5018.60009765625,18.8,96.0,3.1,65.3
5141.10009765625,18.8,102.0,3.1,65.3
5161.60009765625,18.8,99.0,3.1,65.3
5221.5,18.8,103.0,3.1,65.3
5231.39990234375,18.8,101.0,3.1,65.3
5258.7001953125,18.8,101.0,3.1,65.3
5351.7001953125,18.8,94.0,3.1,65.3
5350.2001953125,18.8,92.0,3.1,65.3
5327.2998046875,18.8,98.0,3.1,65.3
5384.7998046875,18.8,94.0,3.1,65.3
5470.2001953125,18.8,90.0,3.1,65.3
5470.2001953125,18.8,84.0,3.1,65.3
5516.39990234375,18.8,88.0,3.1,65.3
5463.10009765625,18.8,90.0,3.1,65.3
5450.7001953125,18.8,90.0,3.1,65.3
5324.7001953125,18.8,93.0,3.1,65.3
5253.89990234375,18.8,93.0,3.1,65.3
5353.7998046875,18.8,86.0,3.1,65.3
5280.0,18.8,95.0,3.1,65.3
5256.7001953125,18.8,90.0,3.1,65.3
5327.39990234375,18.8,94.0,3.1,65.3
5294.10009765625,18.7,105.0,3.1,64.43
5297.60009765625,18.7,105.0,3.1,64.43
5379.0,18.7,105.0,3.1,64.43
5415.60009765625,18.7,103.0,3.1,64.43
5449.7998046875,18.7,102.0,3.1,64.43
5447.2998046875,18.7,124.0,3.1,64.43
5419.2001953125,18.7,117.0,3.1,64.43
5435.39990234375,18.7,113.0,3.1,64.43
5458.2001953125,18.7,117.0,3.1,64.43
5499.2998046875,18.7,116.0,3.1,64.43
5509.10009765625,18.7,117.0,3.1,64.43
5505.2001953125,18.7,127.0,3.1,64.43
5481.39990234375,18.7,124.0,3.1,64.43
5434.7998046875,18.7,119.0,3.1,64.43
5377.89990234375,18.7,120.0,3.1,64.43
5296.5,18.7,119.0,3.1,64.43
5333.89990234375,18.7,119.0,3.1,64.43
5311.39990234375,18.7,115.0,3.1,64.43
5357.5,18.7,123.0,3.1,64.43
5305.39990234375,18.7,139.0,3.1,64.43
5274.0,18.6,144.0,3.1,64.39
5336.7001953125,18.6,136.0,3.1,64.39
5319.10009765625,18.6,136.0,3.1,64.39
5402.7001953125,18.6,130.0,3.1,64.39
5503.10009765625,18.6,126.0,3.1,64.39
5620.7001953125,18.6,127.0,3.1,64.39
5603.10009765625,18.6,126.0,3.1,64.39
5537.60009765625,18.6,127.0,3.1,64.39
5566.7001953125,18.6,127.0,3.1,64.39
5568.10009765625,18.6,130.0,3.1,64.39
5458.60009765625,18.6,152.0,3.1,64.39
5414.7998046875,18.6,137.0,3.1,64.39
5432.10009765625,18.6,129.0,3.1,64.39
5355.5,18.6,123.0,3.1,64.39
5357.7001953125,18.6,124.0,3.1,64.39
5349.2998046875,18.6,126.0,3.1,64.39
5438.7998046875,18.6,122.0,3.1,64.39
5520.7001953125,18.6,121.0,3.1,64.39
5424.2998046875,18.6,127.0,3.1,64.39
5326.5,18.6,130.0,3.2,65.14
5310.39990234375,18.6,125.0,3.2,65.14
5279.89990234375,18.6,121.0,3.2,65.14
5336.10009765625,18.6,111.0,3.2,65.14
5461.10009765625,18.6,100.0,3.2,65.14
5482.7998046875,18.6,99.0,3.2,65.14
5527.2001953125,18.6,98.0,3.2,65.14
5488.2998046875,18.6,104.0,3.2,65.14
5441.39990234375,18.6,96.0,3.2,65.14
5452.60009765625,18.6,93.0,3.2,65.14
5585.89990234375,18.6,96.0,3.2,65.14
5588.0,18.6,100.0,3.2,65.14
5629.2998046875,18.6,104.0,3.2,65.14
5628.10009765625,18.6,110.0,3.2,65.14
5670.89990234375,18.6,108.0,3.2,65.14
5730.0,18.6,112.0,3.2,65.14
5802.2998046875,18.6,103.0,3.2,65.14
5772.7001953125,18.6,103.0,3.2,65.14
5732.60009765625,18.6,110.0,3.2,65.14
5757.2998046875,18.6,100.0,3.2,65.14
5838.2001953125,18.6,100.0,3.2,65.14
5909.2998046875,18.6,103.0,3.2,65.14
6059.89990234375,18.7,100.0,3.2,66.88
6043.2001953125,18.7,95.0,3.2,66.88
6042.60009765625,18.7,96.0,3.2,66.88
6064.89990234375,18.7,96.0,3.2,66.88
6128.10009765625,18.7,91.0,3.2,66.88
6283.7001953125,18.7,87.0,3.2,66.88
6324.2001953125,18.7,85.0,3.2,66.88
6304.39990234375,18.7,83.0,3.2,66.88
6253.89990234375,18.7,80.0,3.2,66.88
6228.7001953125,18.7,80.0,3.2,66.88
6299.89990234375,18.7,71.0,3.2,66.88
