fecha,ibex_close,tasa_desempleo,prima,pib_trim_per_capita
1995-03-15,2886.39990234375,20.9,503.0,2.8
1995-03-16,2917.5,20.9,515.0,2.8
1995-03-17,2889.199951171875,20.9,529.0,2.8
1995-03-21,2896.89990234375,20.9,534.0,2.8
1995-03-22,2888.39990234375,20.9,525.0,2.8
1995-03-23,2865.10009765625,20.9,532.0,2.8
1995-03-24,2885.39990234375,20.9,523.0,2.8
1995-03-27,2911.60009765625,20.9,516.0,2.8
1995-03-28,2898.10009765625,20.9,524.0,2.8
1995-03-29,2883.60009765625,20.9,533.0,2.8
1995-03-30,2946.5,20.9,502.0,2.8
1995-03-31,2931.699951171875,20.9,508.0,2.8
1995-04-03,2933.300048828125,20.6,515.0,2.9
1995-04-04,2985.5,20.6,502.0,2.9
1995-04-05,3009.39990234375,20.6,508.0,2.9
1995-04-06,2989.800048828125,20.6,495.0,2.9
1995-04-07,3007.60009765625,20.6,485.0,2.9
1995-04-10,3016.699951171875,20.6,486.0,2.9
1995-04-11,3006.0,20.6,492.0,2.9
1995-04-12,3011.199951171875,20.6,504.0,2.9
1995-04-17,3035.300048828125,20.6,505.0,2.9
1995-04-18,3011.39990234375,20.6,508.0,2.9
1995-04-19,2992.39990234375,20.6,512.0,2.9
1995-04-20,2987.800048828125,20.6,509.0,2.9
1995-04-21,3005.300048828125,20.6,501.0,2.9
1995-04-24,3008.699951171875,20.6,503.0,2.9
1995-04-25,3013.199951171875,20.6,505.0,2.9
1995-04-26,3027.800048828125,20.6,510.0,2.9
1995-04-27,3075.800048828125,20.6,507.0,2.9
1995-04-28,3091.89990234375,20.6,496.0,2.9
1995-05-03,3161.199951171875,20.5,491.0,2.9
1995-05-04,3193.199951171875,20.5,486.0,2.9
1995-05-05,3191.300048828125,20.5,479.0,2.9
1995-05-08,3252.0,20.5,468.0,2.9
1995-05-09,3271.89990234375,20.5,459.0,2.9
1995-05-10,3290.300048828125,20.5,419.0,2.9
1995-05-11,3282.5,20.5,430.0,2.9
1995-05-12,3240.89990234375,20.5,446.0,2.9
1995-05-16,3233.89990234375,20.5,442.0,2.9
1995-05-17,3230.199951171875,20.5,451.0,2.9
1995-05-18,3225.39990234375,20.5,449.0,2.9
1995-05-19,3212.199951171875,20.5,465.0,2.9
1995-05-22,3267.89990234375,20.5,462.0,2.9
1995-05-23,3297.300048828125,20.5,452.0,2.9
1995-05-24,3316.199951171875,20.5,448.0,2.9
1995-05-25,3253.800048828125,20.5,448.0,2.9
1995-05-26,3230.800048828125,20.5,467.0,2.9
1995-05-29,3210.199951171875,20.5,477.0,2.9
1995-05-30,3226.0,20.5,488.0,2.9
1995-05-31,3226.5,20.5,493.0,2.9
1995-06-01,3253.199951171875,20.6,491.0,2.9
1995-06-02,3260.39990234375,20.6,476.0,2.9
1995-06-05,3269.10009765625,20.6,476.0,2.9
1995-06-06,3261.5,20.6,473.0,2.9
1995-06-07,3250.0,20.6,472.0,2.9
1995-06-08,3264.60009765625,20.6,481.0,2.9
1995-06-09,3242.800048828125,20.6,459.0,2.9
1995-06-12,3214.199951171875,20.6,490.0,2.9
1995-06-13,3235.300048828125,20.6,479.0,2.9
1995-06-14,3237.5,20.6,484.0,2.9
1995-06-15,3230.800048828125,20.6,484.0,2.9
1995-06-16,3223.5,20.6,495.0,2.9
1995-06-19,3235.699951171875,20.6,491.0,2.9
1995-06-20,3223.5,20.6,488.0,2.9
1995-06-21,3217.5,20.6,489.0,2.9
1995-06-22,3236.699951171875,20.6,485.0,2.9
1995-06-23,3260.10009765625,20.6,487.0,2.9
1995-06-26,3261.5,20.6,489.0,2.9
1995-06-27,3260.0,20.6,498.0,2.9
1995-06-28,3234.300048828125,20.6,492.0,2.9
1995-06-29,3223.5,20.6,481.0,2.9
1995-06-30,3219.10009765625,20.6,485.0,2.9
1995-07-03,3219.60009765625,20.7,483.0,2.9
1995-07-04,3240.39990234375,20.7,479.0,2.9
1995-07-05,3245.60009765625,20.7,480.0,2.9
1995-07-06,3232.5,20.7,486.0,2.9
1995-07-07,3317.0,20.7,474.0,2.9
1995-07-10,3343.39990234375,20.7,467.0,2.9
1995-07-11,3376.300048828125,20.7,456.0,2.9
1995-07-12,3368.0,20.7,451.0,2.9
1995-07-13,3344.89990234375,20.7,445.0,2.9
1995-07-14,3330.10009765625,20.7,445.0,2.9
1995-07-17,3355.699951171875,20.7,451.0,2.9
1995-07-18,3321.300048828125,20.7,457.0,2.9
1995-07-19,3312.800048828125,20.7,451.0,2.9
1995-07-20,3279.699951171875,20.7,453.0,2.9
1995-07-21,3288.89990234375,20.7,436.0,2.9
1995-07-24,3331.0,20.7,433.0,2.9
1995-07-25,3349.39990234375,20.7,442.0,2.9
1995-07-26,3363.300048828125,20.7,436.0,2.9
1995-07-27,3378.0,20.7,437.0,2.9
1995-07-28,3359.199951171875,20.7,446.0,2.9
1995-07-31,3373.39990234375,20.7,446.0,2.9
1995-08-01,3389.699951171875,20.8,439.0,2.9
1995-08-02,3461.39990234375,20.8,440.0,2.9
1995-08-03,3453.699951171875,20.8,436.0,2.9
