fecha,ibex_close,ibex_volume,deuda_perc_pib,gasto_perc_PIB,pib_trim_per_capita,var_pib,var_anual_pib,tasa_desempleo,tie,ipc,prima,eurusd_close,tim
2022-07-20,8028.89990234375,176080300,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,123.0,1.0231330394744873,-0.0021
2022-07-21,8012.7001953125,218616100,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,126.0,1.0182781219482422,-0.0021
2022-07-22,8051.60009765625,181045500,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,124.0,1.0221081972122192,-0.0021
2022-07-25,8085.60009765625,124363100,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,120.0,1.0200231075286865,-0.0021
2022-07-26,8069.60009765625,129251000,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,119.0,1.022494912147522,-0.0021
2022-07-27,8124.39990234375,147895400,115.45,46.4,7.059,1.2,8.4,12.8,0.5,-0.3,122.0,1.0129557847976685,-0.0021
2022-07-28,8084.89990234375,250669600,115.45,46.4,7.059,1.2,8.4,12.8,0.5,-0.3,117.0,1.0209290981292725,-0.0021
2022-07-29,8156.2001953125,249071400,115.45,46.4,7.059,1.2,8.4,12.8,0.5,-0.3,110.0,1.0192328691482544,-0.0021
2022-08-01,8085.10009765625,162088800,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,110.0,1.0208247900009155,-0.0021
2022-08-02,8096.89990234375,154636100,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,115.0,1.0261356830596924,-0.0021
2022-08-03,8142.10009765625,146693600,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,111.0,1.015568733215332,-0.0021
2022-08-04,8161.10009765625,135699300,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,110.0,1.015764594078064,-0.0021
2022-08-05,8168.0,144261300,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,108.0,1.024779200553894,-0.0021
2022-08-08,8272.5,118565500,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,110.0,1.0170871019363403,-0.0021
2022-08-09,8311.900390625,115016800,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,111.0,1.0197629928588867,-0.0021
2022-08-10,8352.7998046875,131019400,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,112.0,1.0208144187927246,-0.0021
2022-08-11,8380.0,104906600,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,111.0,1.0300782918930054,-0.0021
2022-08-12,8400.400390625,118970900,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,112.0,1.0316723585128784,-0.0021
2022-08-15,8427.0,82277100,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,111.0,1.0256409645080566,-0.0021
2022-08-16,8511.900390625,118720500,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,112.0,1.0161981582641602,0.00138
2022-08-17,8434.7998046875,113535300,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,115.0,1.0170663595199585,0.00138
2022-08-18,8430.2998046875,88536300,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,115.0,1.0180189609527588,0.00138
2022-08-19,8338.099609375,145359800,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,114.0,1.0089900493621826,0.00138
2022-08-22,8284.7998046875,125075200,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,120.0,1.0035223960876465,0.00138
2022-08-23,8226.2998046875,102243900,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,119.0,0.9939467906951904,0.00138
2022-08-24,8199.400390625,82594700,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,121.0,0.9966909885406494,0.00138
2022-08-25,8187.5,88849300,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,117.0,0.9969095587730408,0.00138
2022-08-26,8063.89990234375,120272900,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,120.0,0.9971283078193665,0.00138
2022-08-29,7989.60009765625,103313100,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,120.0,0.993867814540863,0.00138
2022-08-30,7979.7998046875,158859600,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,119.0,1.0014019012451172,0.00138
2022-08-31,7886.10009765625,228022400,115.81,46.4,7.059,1.2,8.4,12.8,0.5,0.3,120.0,1.0025062561035156,0.00138
2022-09-01,7806.0,132467000,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,121.0,1.003905177116394,0.00138
2022-09-02,7932.2001953125,121212900,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,121.0,0.995232880115509,0.00138
2022-09-05,7862.7001953125,119377800,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,121.0,0.9909427762031555,0.00138
2022-09-06,7842.2001953125,125296900,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,120.0,0.9952229857444763,0.00138
2022-09-07,7855.89990234375,147011500,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,117.0,0.9897951483726501,0.00138
2022-09-08,7916.7998046875,206754300,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,112.0,0.9995701909065247,0.00138
2022-09-09,8033.10009765625,189938300,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,117.0,1.0012015104293823,0.00138
2022-09-12,8194.2998046875,173424800,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,116.0,1.0071406364440918,0.00138
2022-09-13,8064.0,192028100,114.18,46.4,7.059,1.2,8.4,13.0,0.5,-0.7,114.0,1.0129557847976685,0.00707
2022-09-14,8055.60009765625,160072500,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,115.0,0.9982032775878906,0.00707
2022-09-15,8085.5,229942400,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,116.0,0.9984025359153748,0.00707
2022-09-16,7984.7001953125,329447100,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,116.0,0.9988313317298889,0.00707
2022-09-19,7993.2001953125,110506300,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,116.0,1.002234935760498,0.00707
2022-09-20,7873.10009765625,157288100,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,114.0,1.0029587745666504,0.00707
2022-09-21,7872.2001953125,157194700,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,113.0,0.997078537940979,0.00707
2022-09-22,7774.7001953125,182956600,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,114.0,0.983071506023407,0.00707
2022-09-23,7583.5,215665900,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,117.0,0.9841550588607788,0.00707
2022-09-26,7508.5,190143900,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,119.0,0.968992292881012,0.00707
2022-09-27,7445.7001953125,199705600,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,118.0,0.9623712301254272,0.00707
2022-09-28,7442.2001953125,217516300,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,118.0,0.9596191644668579,0.00707
2022-09-29,7300.10009765625,185712500,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,118.0,0.9708172082901001,0.00707
2022-09-30,7366.7998046875,186033300,114.18,46.4,7.059,1.2,8.4,13.0,1.25,-0.7,119.0,0.9829555749893188,0.00707
2022-10-03,7462.0,155766200,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,118.0,0.9792688488960266,0.00707
2022-10-04,7696.60009765625,199972900,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,117.0,0.9832068681716919,0.00707
2022-10-05,7579.89990234375,130259400,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,122.0,0.998432457447052,0.00707
2022-10-06,7511.10009765625,118066500,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,120.0,0.9910998940467834,0.00707
2022-10-07,7436.89990234375,132997300,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,121.0,0.9789045453071594,0.00707
2022-10-10,7413.5,114404200,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,116.0,0.9735012650489807,0.00707
2022-10-11,7355.89990234375,130873100,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,116.0,0.9710057377815247,0.00853
2022-10-12,7261.10009765625,135442500,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,119.0,0.9700167775154114,0.00853
2022-10-13,7348.7998046875,195470900,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,115.0,0.9707984328269958,0.00853
2022-10-14,7382.5,187967900,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,116.0,0.975134015083313,0.00853
2022-10-17,7557.10009765625,166450500,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,116.0,0.973937451839447,0.00853
2022-10-18,7611.2998046875,149752400,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,115.0,0.9846396446228027,0.00853
2022-10-19,7583.60009765625,131870500,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,116.0,0.9863878488540649,0.00853
2022-10-20,7644.39990234375,178416300,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,115.0,0.9766482710838318,0.00853
2022-10-21,7545.60009765625,245063000,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,111.0,0.9778899550437927,0.00853
2022-10-24,7680.5,169749600,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,111.0,0.9860085844993591,0.00853
2022-10-25,7794.89990234375,149338200,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,110.0,0.9886503219604492,0.00853
2022-10-26,7870.60009765625,186582400,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,112.0,0.9963731169700623,0.00853
2022-10-27,7921.10009765625,202336800,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,102.0,1.009193778038025,0.00853
2022-10-28,7916.5,185925600,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,107.0,0.9967803955078125,0.00853
2022-10-31,7956.5,164827400,113.67,46.4,7.286,3.2,7.2,13.0,1.25,0.3,111.0,0.9955002665519714,0.00853
2022-11-01,7999.0,146532300,114.33,46.4,7.286,3.2,7.2,13.1,1.25,-0.1,109.0,0.9886307716369629,0.00853
2022-11-02,7968.60009765625,144925900,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,113.0,0.9877909421920776,0.00853
2022-11-03,7868.89990234375,140561300,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,107.0,0.9814409017562866,0.00853
2022-11-04,7942.7001953125,197127100,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,107.0,0.9749630093574524,0.00853
2022-11-07,7962.2998046875,138355500,114.33,46.4,7.286,3.2,7.2,13.1,2.0,-0.1,106.0,0.9928810596466064,0.00853
